item_name,description,auth_choosen_name,preview,preview_status,video_360,video_360_status,zpr_file_status,texture_pack_link_status,Submission accepted
Darkness 2.0,"Darkness 2.0 is a sleeveless halterneck jumpsuit. Taking the classic men's shirt and suit as the prototype, through 3D three-dimensional tailoring, the original structure was dismantled and rebuilt into Darkness 2.0. The shirt is disassembled into two symmetrical parts, which are added to the sides of the jumpsuit as the outer skirt. The front waist has an outer apron with a classic suit hem structure, and a fishtail-shaped hem design.",Linyi Li,"https://dl.airtable.com/.attachments/ceb7ae9ef771a34f2ebd83beb6da2eef/05ed0b6e/darkness2.0front.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=4ca2eaf95691d60e, ",All good,"https://dl.airtable.com/.attachments/d0fd3ff4e35f051ad8395e86041b951b/209e9ce6/2ad9b84f-827f-45bb-8d42-bf11c4684ddb-2-4515cc8f-f7bf-4f23-a6ab-0675a5b62daf.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=98ae938def6214bf, ",All good,All good,All good,1
Aura Form,"This uniform is inspired by Aura which is displayed as a gradient repelling and attracting different energy layers and colours.  
The whole look gives a feeling of dreaminess and mystery.",Adiella Bachshe (sgicreator),"https://dl.airtable.com/.attachments/3fc57bf9cace974ab32d3bad5941039d/62cdb770/AuraForm_Front2.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=2ff8f975fa7e9a85, ",All good,"https://dl.airtable.com/.attachments/3099f86f56f18be50521a0644d07f32f/535d304e/AuraForm.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=cdba1f0ee42df8b8, ",All good,All good,All good,1
Light Knit,"A lot of my designs are focused on bringing the digital and the natural together. In this case I my starting point was in the ethereal beauty of the shadows of plants in the wind. I found it fascinating how it contrasts with the way we view digital images, where we are able to see digital images through the light our screens emit, we can see these projections of plants by the absence of that light. The garments themselves are transparent in a purposefully artificial way to let the natural but digitised light shine from withing them.  ",Non Fungible Clothing,"https://dl.airtable.com/.attachments/a03e250ffc8f66f8bb37ee46cf8dd289/2e9e7d16/KnitFinal.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=0bacada87ca31e05, ",All good,"https://dl.airtable.com/.attachments/7804d5d4a8b672bb0aff8f1a9410fb16/2c3a88ee/RenderknitFinal.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=8d425211c4e9dddf, ",All good,All good,All good,1
Star Sky Dress,"The dress is inspired by the shining stars of the night sky
In the center of the composition, a bright star, from it softly fa down the drapery and closes behind a smaller star.
The accent of the dress is a translucent hem strewn with star pollen. Wave-like shiny threads of the pattern convey the movements of the clouds. In this way, this composition looks vicious from all sides.",Mirtaly,"https://dl.airtable.com/.attachments/851662ea8accb483ad4ed8bbfdca88ff/4e90a460/Star_Sky_dress.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=2fdf15308293d0c7, ",All good,"https://dl.airtable.com/.attachments/3d0d2ecf48066cee10d72fbc4a025a59/b866e76f/test4.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=9c9c1363a3a935d0, ",All good,All good,All good,1
Block Chain dress,Futuristic contemporary Block Chain dress reflects a connection between physical and digital worlds.  Block Chain dress consists of the mirror mini dress and removable chain skirt. ,ILONA SONG,"https://dl.airtable.com/.attachments/d1dcf08a004a0f7bdb2d5cc8a228045d/14c68253/chain_dress_front.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=c85063ade8b43637, ",All good,"https://dl.airtable.com/.attachments/f646768658ff59e621cff29c76d4222f/2c7237dd/Chain_dress.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=f36fe4f08d4e34cf, ",All good,All good,All good,1
"Sweatshirt ""Wings"" (Woman)","All products were created with the support of the new digital atelier A.D.A. (Alkali Digital Atelier)
Costume (Big pants and Wings sweatshirt), combines technology and nature. The glass effect of sweatshirt has a print inspired by insect, mainly wings.
All sets are created for any gender and can be worn separately.",O.Che,"https://dl.airtable.com/.attachments/e9db87c2cf163e02b4a25dacbc60a40b/b2f1e46b/SweatshirtWingsW1.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=a014f2de8cdde062, ",All good,"https://dl.airtable.com/.attachments/849df79b3c8ffdf8e0c16bf330633b42/a0c952ee/SweatshirtWingsW.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=38b973f93aa6a3d2, ",All good,All good,All good,1
Butterfly,"This dress is included in the collection ""Midsummer night"". 
Cool summer nights beckon with the sweet scent of mattiola in the garden, where the dew shimmers on the cobwebs, and the moon accompanies you on a midnight romantic date with him...",Galina Seredenko,"https://dl.airtable.com/.attachments/a4d471f37b036e71a9ea41fca991763b/2a6cf6ab/Butterfly.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=827f26674d1c2d3f, ",All good,"https://dl.airtable.com/.attachments/8f165caadab50adb7b7fa0654568e35b/a2a1bd95/Galina_Seredenko_butterfly.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=ecac5be1e19d102a, ",All good,All good,All good,1
Online babe,"This work was inspired by the series ""Severance"".

It is dedicated to all people who feel out of place

From A.D.A. (digital atelier)",Papaga Lab,"https://dl.airtable.com/.attachments/e35e12e5d1afb3a1556f432c7ddcb14c/ff0ae9e0/RENDER0.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=aee04e83e23069a4, ",All good,"https://dl.airtable.com/.attachments/53241b8172ad6ba9f96eb521c2ce6a46/3d158b01/vldeo3600001-0150.hevc.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=4e65adbe5d80d218, ",All good,All good,All good,1
Alneol Dress,"Alneol Dress was designed for planet Love.
Special characteristics: super soft gradient fabric with installed lights and puffy sleeves filled with a special gas. 
You may visit the planet Love wearing Alneol Dress anytime on the Miss ship departure from the Earth.
",Julia Blanc,"https://dl.airtable.com/.attachments/0f994452a06e9b0d0f1fcc46a7aa138d/5b38c5ed/AlneolDress.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=c5a594a2ef4ea2a7, ",All good,"https://dl.airtable.com/.attachments/1c32d74873b8d7cebfa0046eda5ed800/071f9836/Alneol_Dress.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=1f94f5851a32e4b8, ",All good,All good,All good,1
Capybara back ride,"I've noticed a capybara hype emerging among the people around me. Their laid-back attitude combined with a cute figure is said to be brilliant for a mood boost. So I wanted to make that part of my design and AR is perfect for something a bit unrealistic. I went with a huge stuffed capybara paired with an overall which is also chill, with a loose fit and genderless .",light0green,"https://dl.airtable.com/.attachments/a84a3cfbeab211e8008c27fee3f3ebc8/e593d458/capybarabackride_static.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=dedcccf0157fbc6c, ",All good,"https://dl.airtable.com/.attachments/176eb434b1bfb0c323c1c019111c0ca8/dbae5530/capybara_back_ride.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=8fb0387c5260d1f0, ",All good,All good,All good,1
